ordem;external_id;titulo;bairro_localizacao;preco;descricao;url_origem;fotos_total;foto_capa
1;c8d337f1fb9d2e0fcc67fc52434846d601e00e17;2 quartos com lazer completo no Jardim Cajazeiras;Porto Seco Pirajá;"R$ 252.990,00";"Golf Riviera, aproveite as condições do Minha Casa Minha Vida e saia do aluguel";https://www.imobssa.com.br/imovel/4129356/golf-riviera-jardim-cajazeiras-mrv;17;uploads/imobssa/c8d337f1fb9d2e0fcc67fc52434846d601e00e17/02.png
2;e8d512991fbbbfac9539ee0ab1fc1fc5516dece8;2 quartos com lazer completo no Jardim das Margaridas;Jardim das Margaridas;"R$ 239.906,00";"Seletto Salvador Norte, pertinho do Salvador Norte Shopping e com muito espaço reservado para sua felicidade | MCMV";https://www.imobssa.com.br/imovel/4142282/selleto-salvador-norte;22;uploads/imobssa/e8d512991fbbbfac9539ee0ab1fc1fc5516dece8/02.png
3;12941402da73df799133642836ef01a64fb217bd;Alto Paralela - 2 quartos na Av. Paralela;Itapuã;"R$ 240.000,00";"Que tal morar no melhor lugar da Av. Paralela, próximo a tudo que sua família precisa? | Minha Casa Minha Vida";https://www.imobssa.com.br/imovel/4128576/alto-paralela-stanza;24;uploads/imobssa/12941402da73df799133642836ef01a64fb217bd/02.png
4;24ca63c5789d05cb3d8a4f1178b7732034c68db2;"Ancoratto Jaguaribe, 2 e 3 quartos com lazer completo";Jaguaribe;"R$ 790.000,00";"Localizado no coração de Jaguaribe, com uma privilegiada vista para o mar, o Ancoratto é um projeto com alto padrão pronto para morar.";https://www.imobssa.com.br/imovel/4180875/ancoratto-jaguaribe;24;uploads/imobssa/24ca63c5789d05cb3d8a4f1178b7732034c68db2/02.png
5;ac84f72d02757dbc1d17762414b83bc1492c1991;"Art Studio Tancredo, um projeto desenhado para a valorização";Caminho das Árvores;"R$ 357.705,00";"Studio, Quarto e Sala e 2 quartos, um investimento de alto padrão da André Guimarães no principal eixo empresarial de Salvador";https://www.imobssa.com.br/imovel/4129897/art-studio-av-tancredo-neves-andre-guimaraes;19;uploads/imobssa/ac84f72d02757dbc1d17762414b83bc1492c1991/02.png
6;32926b7a4e44107344c1fa4890bc94300ec7d7f8;"Beach Class Bahia - Viva, more e invista nesse projeto único";Caminho das Árvores;"R$ 341.601,00";Um conceito urbano inédito em um empreendimento de altíssimo padrão integrado ao Shopping da Baha;https://www.imobssa.com.br/imovel/4131485/beach-class-shopping-bahia-md;21;uploads/imobssa/32926b7a4e44107344c1fa4890bc94300ec7d7f8/02.png
7;5a57690cb271d664b103c07756213584a89396bd;"Bela Vista Residencial, 2 quartos com lazer completo";Pernambués;"R$ 270.000,00";"Em Pernambués, uma localização que facilita sua vida | Minha Casa Minha Vida";https://www.imobssa.com.br/imovel/4156279/bela-vista-pernabues;18;uploads/imobssa/5a57690cb271d664b103c07756213584a89396bd/02.png
8;79d4250ea5b2b71a9fecf6a2de8946f2e2ceff1f;"Blue Sea, studio, 1 e 2 quartos em Stella Maris";Stella Maris;"R$ 443.088,00";"Lazer completo, a poucos passos da praia, onde o dia começa ao som do mar";https://www.imobssa.com.br/imovel/4208785/blue-sea-stella-maris;26;uploads/imobssa/79d4250ea5b2b71a9fecf6a2de8946f2e2ceff1f/02.png
9;8376948ed7a2060e49909353f15616b1b4d29198;"Bosque Caminho das Árvores, 2 suítes com lavabo";Caminho das Árvores;"R$ 978.000,00";"A arquitetura e a natureza em sintonia, criando espaços onde o bem-estar é floresce todos os dias.";https://www.imobssa.com.br/imovel/4156784/bosque-caminho-arvores-jvf;28;uploads/imobssa/8376948ed7a2060e49909353f15616b1b4d29198/02.png
10;00a8c7f16ff973aa449f1009abc8cee1aa859a8d;Brotas Prime: 2 suítes em Brotas com lazer completo;Campinas de Brotas;"R$ 369.667,00";2 suítes em Brotas com lazer completo e fácil acesso às principais vias da cidade. Ideal para morar ou investir;https://www.imobssa.com.br/imovel/4130778/brotas-prime;13;uploads/imobssa/00a8c7f16ff973aa449f1009abc8cee1aa859a8d/02.png
